Gene stable ID	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID
ENSMUSG00000009585	Apobec3	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3 [Source:MGI Symbol;Acc:MGI:1933111]	80287
ENSMUSG00000009628	Tex15	testis expressed gene 15 [Source:MGI Symbol;Acc:MGI:1934816]	104271
ENSMUSG00000009633	G0s2	G0/G1 switch gene 2 [Source:MGI Symbol;Acc:MGI:1316737]	14373
ENSMUSG00000009681	Bcr	BCR activator of RhoGEF and GTPase [Source:MGI Symbol;Acc:MGI:88141]	110279
ENSMUSG00000009734	Pou6f2	POU domain, class 6, transcription factor 2 [Source:MGI Symbol;Acc:MGI:2443631]	218030
ENSMUSG00000009772	Nuak2	NUAK family, SNF1-like kinase, 2 [Source:MGI Symbol;Acc:MGI:1921387]	74137
ENSMUSG00000009876	Cox4i2	cytochrome c oxidase subunit 4I2 [Source:MGI Symbol;Acc:MGI:2135755]	84682
ENSMUSG00000010047	Hyal2	hyaluronoglucosaminidase 2 [Source:MGI Symbol;Acc:MGI:1196334]	15587
ENSMUSG00000010067	Rassf1	Ras association (RalGDS/AF-6) domain family member 1 [Source:MGI Symbol;Acc:MGI:1928386]	56289
ENSMUSG00000010095	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]	17254
ENSMUSG00000010142	Tnfrsf13b	tumor necrosis factor receptor superfamily, member 13b [Source:MGI Symbol;Acc:MGI:1889411]	57916
ENSMUSG00000010342	Tex14	testis expressed gene 14 [Source:MGI Symbol;Acc:MGI:1933227]	83560
ENSMUSG00000010358	Ifi35	interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]	70110
ENSMUSG00000010461	Eya4	EYA transcriptional coactivator and phosphatase 4 [Source:MGI Symbol;Acc:MGI:1337104]	14051
ENSMUSG00000010476	Ebf3	early B cell factor 3 [Source:MGI Symbol;Acc:MGI:894289]	13593
ENSMUSG00000010797	Wnt2	wingless-type MMTV integration site family, member 2 [Source:MGI Symbol;Acc:MGI:98954]	22413
ENSMUSG00000011008	Mcoln2	mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529]	68279
ENSMUSG00000011179	Odc1	ornithine decarboxylase, structural 1 [Source:MGI Symbol;Acc:MGI:97402]	18263
ENSMUSG00000011263	Exoc3l2	exocyst complex component 3-like 2 [Source:MGI Symbol;Acc:MGI:1921713]	74463
ENSMUSG00000011305	Plin5	perilipin 5 [Source:MGI Symbol;Acc:MGI:1914218]	66968
ENSMUSG00000011463	Cpb1	carboxypeptidase B1 (tissue) [Source:MGI Symbol;Acc:MGI:1923953]	76703
ENSMUSG00000011958	Bnip2	BCL2/adenovirus E1B interacting protein 2 [Source:MGI Symbol;Acc:MGI:109327]	12175
ENSMUSG00000012428	Steap4	STEAP family member 4 [Source:MGI Symbol;Acc:MGI:1923560]	117167
ENSMUSG00000012519	Mlkl	mixed lineage kinase domain-like [Source:MGI Symbol;Acc:MGI:1921818]	74568
ENSMUSG00000012520	Phox2b	paired-like homeobox 2b [Source:MGI Symbol;Acc:MGI:1100882]	18935
ENSMUSG00000012705	Retn	resistin [Source:MGI Symbol;Acc:MGI:1888506]	57264
ENSMUSG00000013523	Bcas1	brain enriched myelin associated protein 1 [Source:MGI Symbol;Acc:MGI:1924210]	76960
ENSMUSG00000013584	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]	19378
ENSMUSG00000013936	Myl2	myosin, light polypeptide 2, regulatory, cardiac, slow [Source:MGI Symbol;Acc:MGI:97272]	17906
ENSMUSG00000014030	Pax5	paired box 5 [Source:MGI Symbol;Acc:MGI:97489]	18507
ENSMUSG00000014329	Bicc1	BicC family RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1933388]	83675
ENSMUSG00000014351	Gip	gastric inhibitory polypeptide [Source:MGI Symbol;Acc:MGI:107504]	14607
ENSMUSG00000014361	Mertk	MER proto-oncogene tyrosine kinase [Source:MGI Symbol;Acc:MGI:96965]	17289
ENSMUSG00000014444	Piezo1	piezo-type mechanosensitive ion channel component 1 [Source:MGI Symbol;Acc:MGI:3603204]	234839
ENSMUSG00000014547	Wdfy2	WD repeat and FYVE domain containing 2 [Source:MGI Symbol;Acc:MGI:2442811]	268752
ENSMUSG00000014599	Csf1	colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753]	12977
ENSMUSG00000014609	Chrne	cholinergic receptor, nicotinic, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:87894]	11448
ENSMUSG00000014704	Hoxa2	homeobox A2 [Source:MGI Symbol;Acc:MGI:96174]	15399
ENSMUSG00000014725	Adam28	a disintegrin and metallopeptidase domain 28 [Source:MGI Symbol;Acc:MGI:105988]	13522
ENSMUSG00000014778	Fhod1	formin homology 2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2679008]	234686
ENSMUSG00000014813	Stc1	stanniocalcin 1 [Source:MGI Symbol;Acc:MGI:109131]	20855
ENSMUSG00000014846	Tppp3	tubulin polymerization-promoting protein family member 3 [Source:MGI Symbol;Acc:MGI:1915221]	67971
ENSMUSG00000014932	Yes1	YES proto-oncogene 1, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:99147]	22612
ENSMUSG00000015053	Gata2	GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662]	14461
ENSMUSG00000015085	Entpd2	ectonucleoside triphosphate diphosphohydrolase 2 [Source:MGI Symbol;Acc:MGI:1096863]	12496
ENSMUSG00000015090	Ptgds	prostaglandin D2 synthase (brain) [Source:MGI Symbol;Acc:MGI:99261]	19215
ENSMUSG00000015133	Lrrk1	leucine-rich repeat kinase 1 [Source:MGI Symbol;Acc:MGI:2142227]	233328
ENSMUSG00000015134	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3 [Source:MGI Symbol;Acc:MGI:1861722]	56847
ENSMUSG00000015243	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1 [Source:MGI Symbol;Acc:MGI:99607]	11303
ENSMUSG00000015305	Sash1	SAM and SH3 domain containing 1 [Source:MGI Symbol;Acc:MGI:1917347]	70097
ENSMUSG00000015312	Gadd45b	growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol;Acc:MGI:107776]	17873
ENSMUSG00000015314	Slamf6	SLAM family member 6 [Source:MGI Symbol;Acc:MGI:1353620]	30925
ENSMUSG00000015316	Slamf1	signaling lymphocytic activation molecule family member 1 [Source:MGI Symbol;Acc:MGI:1351314]	27218
ENSMUSG00000015354	Pcolce2	procollagen C-endopeptidase enhancer 2 [Source:MGI Symbol;Acc:MGI:1923727]	76477
ENSMUSG00000015355	Cd48	CD48 antigen [Source:MGI Symbol;Acc:MGI:88339]	12506
ENSMUSG00000015396	Cd83	CD83 antigen [Source:MGI Symbol;Acc:MGI:1328316]	12522
ENSMUSG00000015405	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2 [Source:MGI Symbol;Acc:MGI:1917258]	70008
ENSMUSG00000015501	Hivep2	human immunodeficiency virus type I enhancer binding protein 2 [Source:MGI Symbol;Acc:MGI:1338076]	15273
ENSMUSG00000015519	2310057J18Rik	RIKEN cDNA 2310057J18 gene [Source:MGI Symbol;Acc:MGI:1914969]	67719
ENSMUSG00000015533	Itga2	integrin alpha 2 [Source:MGI Symbol;Acc:MGI:96600]	16398
ENSMUSG00000015568	Lpl	lipoprotein lipase [Source:MGI Symbol;Acc:MGI:96820]	16956
ENSMUSG00000015619	Gata3	GATA binding protein 3 [Source:MGI Symbol;Acc:MGI:95663]	14462
ENSMUSG00000015745	Plekho1	pleckstrin homology domain containing, family O member 1 [Source:MGI Symbol;Acc:MGI:1914470]	67220
ENSMUSG00000015839	Nfe2l2	nuclear factor, erythroid derived 2, like 2 [Source:MGI Symbol;Acc:MGI:108420]	18024
ENSMUSG00000015852	Fcrls	Fc receptor-like S, scavenger receptor [Source:MGI Symbol;Acc:MGI:1933397]	80891
ENSMUSG00000015854	Cd5l	CD5 antigen-like [Source:MGI Symbol;Acc:MGI:1334419]	11801
ENSMUSG00000015947	Fcgr1	Fc receptor, IgG, high affinity I [Source:MGI Symbol;Acc:MGI:95498]	14129
ENSMUSG00000015950	Ncf1	neutrophil cytosolic factor 1 [Source:MGI Symbol;Acc:MGI:97283]	17969
ENSMUSG00000015968	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit [Source:MGI Symbol;Acc:MGI:88293]	12289
ENSMUSG00000016024	Lbp	lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776]	16803
ENSMUSG00000016087	Fli1	Friend leukemia integration 1 [Source:MGI Symbol;Acc:MGI:95554]	14247
ENSMUSG00000016150	Tenm1	teneurin transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1345185]	23963
ENSMUSG00000016194	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:103562]	15483
ENSMUSG00000016200	Syt14	synaptotagmin XIV [Source:MGI Symbol;Acc:MGI:2444490]	329324
ENSMUSG00000016239	Lonrf3	LON peptidase N-terminal domain and ring finger 3 [Source:MGI Symbol;Acc:MGI:1921615]	74365
ENSMUSG00000016256	Ctsz	cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]	64138
ENSMUSG00000016344	Ppdpf	pancreatic progenitor cell differentiation and proliferation factor [Source:MGI Symbol;Acc:MGI:1913746]	66496
ENSMUSG00000016356	Col20a1	collagen, type XX, alpha 1 [Source:MGI Symbol;Acc:MGI:1920618]	73368
ENSMUSG00000016382	Pls3	plastin 3 (T-isoform) [Source:MGI Symbol;Acc:MGI:104807]	102866
ENSMUSG00000016458	Wt1	WT1 transcription factor [Source:MGI Symbol;Acc:MGI:98968]	22431
ENSMUSG00000016481	Cr1l	complement component (3b/4b) receptor 1-like [Source:MGI Symbol;Acc:MGI:88513]	12946
ENSMUSG00000016494	Cd34	CD34 antigen [Source:MGI Symbol;Acc:MGI:88329]	12490
ENSMUSG00000016496	Cd274	CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446]	60533
ENSMUSG00000016498	Pdcd1lg2	programmed cell death 1 ligand 2 [Source:MGI Symbol;Acc:MGI:1930125]	58205
ENSMUSG00000016529	Il10	interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]	16153
ENSMUSG00000016763	Scube1	signal peptide, CUB domain, EGF-like 1 [Source:MGI Symbol;Acc:MGI:1890616]	64706
ENSMUSG00000016918	Sulf1	sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]	240725
ENSMUSG00000017002	Slpi	secretory leukocyte peptidase inhibitor [Source:MGI Symbol;Acc:MGI:109297]	20568
ENSMUSG00000017007	Rbpjl	recombination signal binding protein for immunoglobulin kappa J region-like [Source:MGI Symbol;Acc:MGI:1196616]	19668
ENSMUSG00000017009	Sdc4	syndecan 4 [Source:MGI Symbol;Acc:MGI:1349164]	20971
ENSMUSG00000017132	Cyth1	cytohesin 1 [Source:MGI Symbol;Acc:MGI:1334257]	19157
ENSMUSG00000017144	Rnd3	Rho family GTPase 3 [Source:MGI Symbol;Acc:MGI:1921444]	74194
ENSMUSG00000017165	Gast	gastrin [Source:MGI Symbol;Acc:MGI:104768]	14459
ENSMUSG00000017309	Cd300lg	CD300 molecule like family member G [Source:MGI Symbol;Acc:MGI:1289168]	52685
ENSMUSG00000017311	Pyy	peptide YY [Source:MGI Symbol;Acc:MGI:99924]	217212
ENSMUSG00000017316	Ppy	pancreatic polypeptide [Source:MGI Symbol;Acc:MGI:97753]	19064
ENSMUSG00000017344	Vtn	vitronectin [Source:MGI Symbol;Acc:MGI:98940]	22370
ENSMUSG00000017400	Stac2	SH3 and cysteine rich domain 2 [Source:MGI Symbol;Acc:MGI:2144518]	217154
ENSMUSG00000017417	Plxdc1	plexin domain containing 1 [Source:MGI Symbol;Acc:MGI:1919574]	72324
ENSMUSG00000017466	Timp2	tissue inhibitor of metalloproteinase 2 [Source:MGI Symbol;Acc:MGI:98753]	21858
ENSMUSG00000017491	Rarb	retinoic acid receptor, beta [Source:MGI Symbol;Acc:MGI:97857]	218772
ENSMUSG00000017493	Igfbp4	insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]	16010
ENSMUSG00000017561	Crlf3	cytokine receptor-like factor 3 [Source:MGI Symbol;Acc:MGI:1860086]	54394
ENSMUSG00000017607	Tns4	tensin 4 [Source:MGI Symbol;Acc:MGI:2144377]	217169
ENSMUSG00000017615	Tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial) [Source:MGI Symbol;Acc:MGI:104961]	21927
ENSMUSG00000017652	Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	21939
ENSMUSG00000017677	Wsb1	WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139]	78889
ENSMUSG00000017697	Ada	adenosine deaminase [Source:MGI Symbol;Acc:MGI:87916]	11486
ENSMUSG00000017707	Serinc3	serine incorporator 3 [Source:MGI Symbol;Acc:MGI:1349457]	26943
ENSMUSG00000017716	Birc5	baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]	11799
ENSMUSG00000017723	Wfdc2	WAP four-disulfide core domain 2 [Source:MGI Symbol;Acc:MGI:1914951]	67701
ENSMUSG00000017737	Mmp9	matrix metallopeptidase 9 [Source:MGI Symbol;Acc:MGI:97011]	17395
ENSMUSG00000017754	Pltp	phospholipid transfer protein [Source:MGI Symbol;Acc:MGI:103151]	18830
ENSMUSG00000017817	Jph2	junctophilin 2 [Source:MGI Symbol;Acc:MGI:1891496]	59091
ENSMUSG00000017969	Ptgis	prostaglandin I2 (prostacyclin) synthase [Source:MGI Symbol;Acc:MGI:1097156]	19223
ENSMUSG00000017978	Cadps2	Ca2+-dependent activator protein for secretion 2 [Source:MGI Symbol;Acc:MGI:2443963]	320405
ENSMUSG00000018001	Cyth3	cytohesin 3 [Source:MGI Symbol;Acc:MGI:1335107]	19159
ENSMUSG00000018008	Cyth4	cytohesin 4 [Source:MGI Symbol;Acc:MGI:2441702]	72318
ENSMUSG00000018168	Ikzf3	IKAROS family zinc finger 3 [Source:MGI Symbol;Acc:MGI:1342542]	22780
ENSMUSG00000018169	Mfng	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:MGI Symbol;Acc:MGI:1095404]	17305
ENSMUSG00000018209	Stk4	serine/threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1929004]	58231
ENSMUSG00000018217	Pmp22	peripheral myelin protein 22 [Source:MGI Symbol;Acc:MGI:97631]	18858
ENSMUSG00000018293	Pfn1	profilin 1 [Source:MGI Symbol;Acc:MGI:97549]	18643
ENSMUSG00000018339	Gpx3	glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]	14778
ENSMUSG00000018381	Abi3	ABI family member 3 [Source:MGI Symbol;Acc:MGI:1913860]	66610
ENSMUSG00000018476	Kdm6b	KDM1 lysine (K)-specific demethylase 6B [Source:MGI Symbol;Acc:MGI:2448492]	216850
ENSMUSG00000018507	Trpv2	transient receptor potential cation channel, subfamily V, member 2 [Source:MGI Symbol;Acc:MGI:1341836]	22368
ENSMUSG00000018585	Atox1	antioxidant 1 copper chaperone [Source:MGI Symbol;Acc:MGI:1333855]	11927
ENSMUSG00000018593	Sparc	secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]	20692
ENSMUSG00000018604	Tbx3	T-box 3 [Source:MGI Symbol;Acc:MGI:98495]	21386
ENSMUSG00000018623	Mmp7	matrix metallopeptidase 7 [Source:MGI Symbol;Acc:MGI:103189]	17393
ENSMUSG00000018654	Ikzf1	IKAROS family zinc finger 1 [Source:MGI Symbol;Acc:MGI:1342540]	22778
ENSMUSG00000018796	Acsl1	acyl-CoA synthetase long-chain family member 1 [Source:MGI Symbol;Acc:MGI:102797]	14081
ENSMUSG00000018821	Avpi1	arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]	69534
ENSMUSG00000018822	Sfrp5	secreted frizzled-related sequence protein 5 [Source:MGI Symbol;Acc:MGI:1860298]	54612
ENSMUSG00000018845	Unc45b	unc-45 myosin chaperone B [Source:MGI Symbol;Acc:MGI:2443377]	217012
ENSMUSG00000018849	Wwc1	WW, C2 and coiled-coil domain containing 1 [Source:MGI Symbol;Acc:MGI:2388637]	211652
ENSMUSG00000018899	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	16362
ENSMUSG00000018919	Tm4sf5	transmembrane 4 superfamily member 5 [Source:MGI Symbol;Acc:MGI:1922854]	75604
ENSMUSG00000018920	Cxcl16	chemokine (C-X-C motif) ligand 16 [Source:MGI Symbol;Acc:MGI:1932682]	66102
ENSMUSG00000018924	Alox15	arachidonate 15-lipoxygenase [Source:MGI Symbol;Acc:MGI:87997]	11687
ENSMUSG00000018932	Map2k3	mitogen-activated protein kinase kinase 3 [Source:MGI Symbol;Acc:MGI:1346868]	26397
ENSMUSG00000019102	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1 [Source:MGI Symbol;Acc:MGI:1353451]	11670
ENSMUSG00000019256	Ahr	aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]	11622
ENSMUSG00000019278	Dpep1	dipeptidase 1 [Source:MGI Symbol;Acc:MGI:94917]	13479
ENSMUSG00000019326	Aoc3	amine oxidase, copper containing 3 [Source:MGI Symbol;Acc:MGI:1306797]	11754
ENSMUSG00000019359	Gdpd2	glycerophosphodiester phosphodiesterase domain containing 2 [Source:MGI Symbol;Acc:MGI:1918834]	71584
ENSMUSG00000019487	Trip10	thyroid hormone receptor interactor 10 [Source:MGI Symbol;Acc:MGI:2146901]	106628
ENSMUSG00000019489	Cd70	CD70 antigen [Source:MGI Symbol;Acc:MGI:1195273]	21948
ENSMUSG00000019539	Rcn3	reticulocalbin 3, EF-hand calcium binding domain [Source:MGI Symbol;Acc:MGI:1277122]	52377
ENSMUSG00000019577	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4 [Source:MGI Symbol;Acc:MGI:1351481]	27273
ENSMUSG00000019647	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A [Source:MGI Symbol;Acc:MGI:1203727]	20358
ENSMUSG00000019762	Iyd	iodotyrosine deiodinase [Source:MGI Symbol;Acc:MGI:1917587]	70337
ENSMUSG00000019772	Vip	vasoactive intestinal polypeptide [Source:MGI Symbol;Acc:MGI:98933]	22353
ENSMUSG00000019789	Hey2	hairy/enhancer-of-split related with YRPW motif 2 [Source:MGI Symbol;Acc:MGI:1341884]	15214
ENSMUSG00000019790	Stxbp5	syntaxin binding protein 5 (tomosyn) [Source:MGI Symbol;Acc:MGI:1926058]	78808
ENSMUSG00000019820	Utrn	utrophin [Source:MGI Symbol;Acc:MGI:104631]	22288
ENSMUSG00000019823	Mical1	microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:MGI Symbol;Acc:MGI:2385847]	171580
ENSMUSG00000019828	Grm1	glutamate receptor, metabotropic 1 [Source:MGI Symbol;Acc:MGI:1351338]	14816
ENSMUSG00000019843	Fyn	Fyn proto-oncogene [Source:MGI Symbol;Acc:MGI:95602]	14360
ENSMUSG00000019846	Lama4	laminin, alpha 4 [Source:MGI Symbol;Acc:MGI:109321]	16775
ENSMUSG00000019850	Tnfaip3	tumor necrosis factor, alpha-induced protein 3 [Source:MGI Symbol;Acc:MGI:1196377]	21929
ENSMUSG00000019851	Perp	PERP, TP53 apoptosis effector [Source:MGI Symbol;Acc:MGI:1929938]	64058
ENSMUSG00000019872	Smpdl3a	sphingomyelin phosphodiesterase, acid-like 3A [Source:MGI Symbol;Acc:MGI:1931437]	57319
ENSMUSG00000019874	Fabp7	fatty acid binding protein 7, brain [Source:MGI Symbol;Acc:MGI:101916]	12140
ENSMUSG00000019880	Rspo3	R-spondin 3 [Source:MGI Symbol;Acc:MGI:1920030]	72780
ENSMUSG00000019888	Mgat4c	MGAT4 family, member C [Source:MGI Symbol;Acc:MGI:1914819]	67569
ENSMUSG00000019890	Nts	neurotensin [Source:MGI Symbol;Acc:MGI:1328351]	67405
ENSMUSG00000019899	Lama2	laminin, alpha 2 [Source:MGI Symbol;Acc:MGI:99912]	16773
ENSMUSG00000019900	Rfx6	regulatory factor X, 6 [Source:MGI Symbol;Acc:MGI:2445208]	320995
ENSMUSG00000019923	Zwint	ZW10 interactor [Source:MGI Symbol;Acc:MGI:1289227]	52696
ENSMUSG00000019929	Dcn	decorin [Source:MGI Symbol;Acc:MGI:94872]	13179
ENSMUSG00000019942	Cdk1	cyclin-dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]	12534
ENSMUSG00000019947	Arid5b	AT rich interactive domain 5B (MRF1-like) [Source:MGI Symbol;Acc:MGI:2175912]	71371
ENSMUSG00000019960	Dusp6	dual specificity phosphatase 6 [Source:MGI Symbol;Acc:MGI:1914853]	67603
ENSMUSG00000019966	Kitl	kit ligand [Source:MGI Symbol;Acc:MGI:96974]	17311
ENSMUSG00000019970	Sgk1	serum/glucocorticoid regulated kinase 1 [Source:MGI Symbol;Acc:MGI:1340062]	20393
ENSMUSG00000019978	Epb41l2	erythrocyte membrane protein band 4.1 like 2 [Source:MGI Symbol;Acc:MGI:103009]	13822
ENSMUSG00000019982	Myb	myeloblastosis oncogene [Source:MGI Symbol;Acc:MGI:97249]	17863
ENSMUSG00000019987	Arg1	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]	11846
ENSMUSG00000020009	Ifngr1	interferon gamma receptor 1 [Source:MGI Symbol;Acc:MGI:107655]	15979
ENSMUSG00000020027	Socs2	suppressor of cytokine signaling 2 [Source:MGI Symbol;Acc:MGI:1201787]	216233
ENSMUSG00000020034	Tcp11l2	t-complex 11 (mouse) like 2 [Source:MGI Symbol;Acc:MGI:2444679]	216198
ENSMUSG00000020038	Cry1	cryptochrome 1 (photolyase-like) [Source:MGI Symbol;Acc:MGI:1270841]	12952
ENSMUSG00000020044	Timp3	tissue inhibitor of metalloproteinase 3 [Source:MGI Symbol;Acc:MGI:98754]	21859
ENSMUSG00000020051	Pah	phenylalanine hydroxylase [Source:MGI Symbol;Acc:MGI:97473]	18478
ENSMUSG00000020053	Igf1	insulin-like growth factor 1 [Source:MGI Symbol;Acc:MGI:96432]	16000
ENSMUSG00000020077	Srgn	serglycin [Source:MGI Symbol;Acc:MGI:97756]	19073
ENSMUSG00000020099	Unc5b	unc-5 netrin receptor B [Source:MGI Symbol;Acc:MGI:894703]	107449
ENSMUSG00000020108	Ddit4	DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997]	74747
ENSMUSG00000020120	Plek	pleckstrin [Source:MGI Symbol;Acc:MGI:1860485]	56193
ENSMUSG00000020123	Avpr1a	arginine vasopressin receptor 1A [Source:MGI Symbol;Acc:MGI:1859216]	54140
ENSMUSG00000020134	Peli1	pellino 1 [Source:MGI Symbol;Acc:MGI:1914495]	67245
ENSMUSG00000020143	Dock2	dedicator of cyto-kinesis 2 [Source:MGI Symbol;Acc:MGI:2149010]	94176
ENSMUSG00000020151	Ptprr	protein tyrosine phosphatase, receptor type, R [Source:MGI Symbol;Acc:MGI:109559]	19279
ENSMUSG00000020154	Ptprb	protein tyrosine phosphatase, receptor type, B [Source:MGI Symbol;Acc:MGI:97809]	19263
ENSMUSG00000020159	Gabrp	gamma-aminobutyric acid (GABA) A receptor, pi [Source:MGI Symbol;Acc:MGI:2387597]	216643
ENSMUSG00000020160	Meis1	Meis homeobox 1 [Source:MGI Symbol;Acc:MGI:104717]	17268
ENSMUSG00000020176	Grb10	growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]	14783
ENSMUSG00000020177	9530003J23Rik	RIKEN cDNA 9530003J23 gene [Source:MGI Symbol;Acc:MGI:1924647]	77397
ENSMUSG00000020178	Adora2a	adenosine A2a receptor [Source:MGI Symbol;Acc:MGI:99402]	11540
ENSMUSG00000020181	Nav3	neuron navigator 3 [Source:MGI Symbol;Acc:MGI:2183703]	260315
ENSMUSG00000020183	Cpm	carboxypeptidase M [Source:MGI Symbol;Acc:MGI:1917824]	70574
ENSMUSG00000020186	Csrp2	cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]	13008
ENSMUSG00000020189	Osbpl8	oxysterol binding protein-like 8 [Source:MGI Symbol;Acc:MGI:2443807]	237542
ENSMUSG00000020190	Mknk2	MAP kinase-interacting serine/threonine kinase 2 [Source:MGI Symbol;Acc:MGI:894279]	17347
ENSMUSG00000020205	Phlda1	pleckstrin homology like domain, family A, member 1 [Source:MGI Symbol;Acc:MGI:1096880]	21664
ENSMUSG00000020218	Wif1	Wnt inhibitory factor 1 [Source:MGI Symbol;Acc:MGI:1344332]	24117
ENSMUSG00000020227	Irak3	interleukin-1 receptor-associated kinase 3 [Source:MGI Symbol;Acc:MGI:1921164]	73914
ENSMUSG00000020241	Col6a2	collagen, type VI, alpha 2 [Source:MGI Symbol;Acc:MGI:88460]	12834
ENSMUSG00000020250	Txnrd1	thioredoxin reductase 1 [Source:MGI Symbol;Acc:MGI:1354175]	50493
ENSMUSG00000020253	Ppm1m	protein phosphatase 1M [Source:MGI Symbol;Acc:MGI:1915155]	67905
ENSMUSG00000020264	Slc36a2	solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430]	246049
ENSMUSG00000020272	Stk10	serine/threonine kinase 10 [Source:MGI Symbol;Acc:MGI:1099439]	20868
ENSMUSG00000020275	Rel	reticuloendotheliosis oncogene [Source:MGI Symbol;Acc:MGI:97897]	19696
ENSMUSG00000020310	Madcam1	mucosal vascular addressin cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:103579]	17123
ENSMUSG00000020315	Sptbn1	spectrin beta, non-erythrocytic 1 [Source:MGI Symbol;Acc:MGI:98388]	20742
ENSMUSG00000020325	Fstl3	follistatin-like 3 [Source:MGI Symbol;Acc:MGI:1890391]	83554
ENSMUSG00000020330	Hmmr	hyaluronan mediated motility receptor (RHAMM) [Source:MGI Symbol;Acc:MGI:104667]	15366
ENSMUSG00000020354	Sgcd	sarcoglycan, delta (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:1346525]	24052
ENSMUSG00000020357	Flt4	FMS-like tyrosine kinase 4 [Source:MGI Symbol;Acc:MGI:95561]	14257
ENSMUSG00000020363	Gfpt2	glutamine fructose-6-phosphate transaminase 2 [Source:MGI Symbol;Acc:MGI:1338883]	14584
